institution_name,year,country_code,ass_total,ass_trade,inc_trade,in_roa,rt_rwa,in_roe,in_trade,
Hamburger Volksbank eG,2014,DE,"2643,099","1279,257","0,054","0,0036018","0,3868428689","0,0547174","0,0007448",
Hamburger Volksbank eG,2015,DE,"2928,487","1353,296","0,043","0,0034362","0,3504236147","0,0564814","0,000577",
Deutsche WertpapierService Bank AG,2010,DE,"618,499","192,312","4,66","0,027916","0,0717866965","0,079804","0,0140118",
Deutsche WertpapierService Bank AG,2011,DE,"703,992","197,112","2,187","0,0333143","0,05681882749","0,1063334","0,0072119",
Deutsche WertpapierService Bank AG,2012,DE,"549,897","208,554","3,688","0,0023459","0,1151124665","0,0061146","0,0132049",
Deutsche WertpapierService Bank AG,2013,DE,"568,228","258,649","2,685","0,0167802","0,1536355125","0,0443068","0,009708",
Deutsche WertpapierService Bank AG,2014,DE,"454,956","254,886","4,491","0,0115418","0,1189125981","0,0247298","0,0162896",
Deutsche WertpapierService Bank AG,2015,DE,"473,614","244,703","7,288","0,0366712","0,1163394663","0,0951864","0,0262222",
EDEKABANK AG,2010,DE,"1358,548","352,249","0,259","0,0091973","0,6210674926","0,1433011","0,0040252",
EDEKABANK AG,2011,DE,"1512,463","459,625","0,025","0,008307","0,604973477","0,0910356","0,0003718",
EDEKABANK AG,2012,DE,"1554,107","477,3861","0,008","0,0090766","0,6506952224","0,0981758","0,0001157",
Kerner Volksbank eG,2010,DE,"477,835","127,481",0,"0,0094635","0,5364383103","0,1341362",0,
Kerner Volksbank eG,2011,DE,"497,654","125,357",0,"0,0101235","0,5467915459","0,1385398",0,
Kerner Volksbank eG,2012,DE,"501,187","139,144",0,"0,0117262","0,5800230253","0,1371721",0,
Kerner Volksbank eG,2013,DE,"507,261","167,856",0,"0,0098509","0,615832875","0,1046098",0,
Kerner Volksbank eG,2014,DE,"513,581","204,526",0,"0,0101425","0,6301342924","0,0991983",0,
Kerner Volksbank eG,2015,DE,"529,79","189,122",0,"0,0101965","0,6211857528","0,0946457",0,
Volksbank Raiffeisenbank Fürstenfeldbruck eG,2010,DE,"1202,244","275,68",0,"0,0087278",,"0,1291764",0,
Volksbank Raiffeisenbank Fürstenfeldbruck eG,2011,DE,"1230,349","281,808",0,"0,0083188","0,5888369885","0,1151073",0,
Volksbank Raiffeisenbank Fürstenfeldbruck eG,2012,DE,"1248,062","270,433",0,"0,0114305","0,6025542","0,1396902",0,
Volksbank Raiffeisenbank Fürstenfeldbruck eG,2013,DE,"1290,806","262,771",0,"0,0068314",,"0,0771161",0,
Volksbank Raiffeisenbank Fürstenfeldbruck eG,2014,DE,"1357,438","277,487",0,"0,0094995","0,6224321111","0,1011904",0,
Volksbank Raiffeisenbank Fürstenfeldbruck eG,2015,DE,"1437,949","289,305",0,"0,0089746","0,5932449621","0,0920865",0,
Volksbank Raiffeisenbank Starnberg-Herrsching-Landsberg eG,2010,DE,"1479,751","376,219","0,001","0,0043163",,"0,0612985","0,0000217",
Volksbank Raiffeisenbank Starnberg-Herrsching-Landsberg eG,2011,DE,"1523,066","311,466",0,"0,0044089","0,5662512327","0,0613937",0,
Volksbank Raiffeisenbank Starnberg-Herrsching-Landsberg eG,2012,DE,"1578,719","378,353",0,"0,0043675","0,5853878999","0,0546888",0,
Volksbank Raiffeisenbank Starnberg-Herrsching-Landsberg eG,2013,DE,"1552,965","404,2449",0,"0,0043066","0,6648494976","0,0504382",0,
Volksbank Raiffeisenbank Starnberg-Herrsching-Landsberg eG,2014,DE,"1615,731","470,146",0,"0,0051896","0,5632435102","0,0587465",0,
Volksbank Raiffeisenbank Starnberg-Herrsching-Landsberg eG,2015,DE,"2241,338","555,3259",0,"0,0037959","0,5594185259","0,0445828",0,
Raiffeisenbank Aschaffenburg eG,2010,DE,"993,024","350,75",,"0,0032124",,"0,0578527",,
Raiffeisenbank Aschaffenburg eG,2011,DE,"1037,655","314,9211","-0,486","0,0046673",,"0,0832574","-0,0162341",
Raiffeisenbank Aschaffenburg eG,2012,DE,"1294,832","441,341","-0,071","0,0063012",,"0,1008504","-0,0018845",
Raiffeisenbank Aschaffenburg eG,2013,DE,"1356,726","480,5039",0,"0,0064648","0,5544045002","0,0913598",0,
Raiffeisenbank Aschaffenburg eG,2014,DE,"1342,649","504,98",0,"0,0066525","0,5751488289","0,0836001",0,
Raiffeisenbank Aschaffenburg eG,2015,DE,"1413,382",,0,"0,0052788",,"0,0639518",0,
Volksbank Backnang eG,2010,DE,"1164,027","282,596","0,001","0,0076983","0,6417024691","0,1339142","0,0000271",
Volksbank Backnang eG,2011,DE,"1277,598","240,549",0,"0,0088111","0,6127968265","0,1535995",0,
Volksbank Backnang eG,2012,DE,"1317,911","260,037",0,"0,0062531","0,6566551156","0,1010694",0,
Volksbank Backnang eG,2013,DE,"1347,237","260,122","0,001","0,0067909","0,6858295905","0,1007732","0,0000264",
Volksbank Backnang eG,2014,DE,"1395,867","268,157","0,009","0,0072865","0,6755120653","0,1002336","0,0002336",
Volksbank Backnang eG,2015,DE,"1429,335","259,577","-0,016","0,0066443","0,6904196707","0,0808723","-0,0004284",
Volksbank Breisgau-Süd eG,2010,DE,"850,511","349,331",0,"0,006395",,"0,0789726",0,
